arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),2,10,68.2834,68.27941,0.00399,3.1
LATTICE (image+text),2,11,64.31243,64.30805,0.00438,3.1
LATTICE (image+text),2,12,60.31932,60.31451,0.00482,3.1
LATTICE (image+text),2,13,56.84197,56.83674,0.00523,3.1
LATTICE (image+text),2,14,53.2739,53.26824,0.00566,3.1
LATTICE (image+text),2,15,50.1699,50.16382,0.00607,3.1
LATTICE (image+text),2,16,47.16727,47.16075,0.00651,3.1
LATTICE (image+text),2,17,44.2533,44.24636,0.00693,3.1
LATTICE (image+text),2,18,41.647,41.63963,0.00738,3.1
LATTICE (image+text),2,19,39.09108,39.08325,0.00783,3.1
LATTICE (image+text),2,20,36.6979,36.68965,0.00825,3.2
LATTICE (image+text),2,21,34.53391,34.52521,0.0087,3.1
LATTICE (image+text),2,22,32.61747,32.60836,0.0091,3.1
LATTICE (image+text),2,23,30.76333,30.75385,0.00948,3.1
LATTICE (image+text),2,24,28.9919,28.98198,0.00992,3.1
LATTICE (image+text),2,25,27.19379,27.18348,0.01032,3.1
LATTICE (image+text),2,26,25.82244,25.81172,0.01072,3.1
LATTICE (image+text),2,27,24.35995,24.34883,0.01112,3.1
LATTICE (image+text),2,28,23.01296,23.00147,0.01148,3.1
LATTICE (image+text),2,29,21.8003,21.7884,0.01189,3.1
LATTICE (image+text),2,30,20.57692,20.56466,0.01226,3.1
LATTICE (image+text),2,31,19.62234,19.60972,0.01261,3.1
LATTICE (image+text),2,32,18.61831,18.60537,0.01293,3.1
LATTICE (image+text),2,33,17.68028,17.66695,0.01333,3.1
LATTICE (image+text),2,34,16.5957,16.58199,0.01371,3.1
LATTICE (image+text),2,35,15.88338,15.86936,0.01402,3.2
LATTICE (image+text),2,36,15.03533,15.02098,0.01435,3.1
LATTICE (image+text),2,37,14.30682,14.29215,0.01467,3.1
LATTICE (image+text),2,38,13.65571,13.64073,0.01497,3.1
LATTICE (image+text),2,39,13.04205,13.02672,0.01533,3.1
LATTICE (image+text),2,40,12.367,12.35137,0.01563,3.1
LATTICE (image+text),2,41,11.8197,11.80375,0.01596,3.1
LATTICE (image+text),2,42,11.27388,11.25764,0.01623,3.1
LATTICE (image+text),2,43,10.71075,10.69419,0.01657,3.1
LATTICE (image+text),2,44,10.21869,10.20182,0.01687,3.1
LATTICE (image+text),2,45,9.69923,9.68207,0.01715,3.1
LATTICE (image+text),2,46,9.30423,9.28679,0.01744,3.1
LATTICE (image+text),2,47,8.92841,8.91068,0.01773,3.1
LATTICE (image+text),2,48,8.61708,8.59913,0.01795,3.1
LATTICE (image+text),2,49,8.20453,8.18629,0.01824,3.1
LATTICE (image+text),2,50,7.81761,7.79912,0.0185,3.1
LATTICE (image+text),2,51,7.49988,7.48113,0.01875,3.1
LATTICE (image+text),2,52,7.19799,7.179,0.01899,3.1
LATTICE (image+text),2,53,6.91859,6.8993,0.01929,3.1
LATTICE (image+text),2,54,6.59266,6.57312,0.01955,3.2
LATTICE (image+text),2,55,6.33762,6.31782,0.0198,3.1
